date,star_rate,review
2021.12.30,5.0,캔콜라를 하루에 3캔은 마시는 신랑을 위해 60개 한꺼번에 구매했어요.. 최저가에 구매.. 최고에요
2021.12.30,5.0,"배송 만족

맛은 굳

가격이 조금 쌌으면"
2021.12.29,5.0,"쁘듯합니다!
역시 코카!"
2021.12.28,5.0,배송 빠르고 좋아요
2021.12.28,5.0,"역시 콜라는 코카콜라네요
박스에 안전하게 배달 받았습니다"
2021.12.27,5.0,언제나 만족스런 나의 링겔.
2021.12.17,5.0,"사이즈가 작은것이 부담 없이 먹기가 좋아요
가격만족 배송 만족합니다"
2021.12.08,5.0,배송좋구 자주 시켜요 자주시켜 먹어요
2021.12.01,5.0,자렴한 가격에 잘 구매했습니다
2021.11.25,3.0,저에게 딱인 싸이즈라서 또 구매했네요
2021.11.21,4.0,재구매했는데 요번엔 할인이 덜되어 별한개 뺐어요…ㅎ
2021.11.21,5.0,택배도 안전하게 박스에 담겨져서 잘 받았습니다
2021.11.17,5.0,기한참고 세일가 구매 늘 만족
2021.11.17,5.0,"코카콜라 주문했습니다
빠른배송.종이박스로 성의있게 포장
몇번 주문결과 항상 맘에듬!
여름처럼 파격 가격할인 했으면
더 많이 구매 할거 같습니다"
2021.11.17,5.0,주기적으로 사먹는 제품
2021.11.06,4.0,"롯데온 사이트가 가장 저렴하게 판매하는 것에서 +1점
유통기한 2023년 9월 27일까지 아주 길어서 +1점 아주 마음에 들어요"
2021.11.03,5.0,잘 받았습니다 감사합니다
2021.11.02,5.0,조금씩 먹기 떡 좋아요~저렴하게 구입해서 좋아요^^
2021.10.26,5.0,잘 받았습니다 안터지고 잘 왔어요
2021.10.26,5.0,잘 받았습니다 안터지고 잘 왔어요
2021.10.26,5.0,"빠르게 잘받았습니다
항상 마시는 ㅎㅎ"
2021.10.19,5.0,"자주 주문한는 이유
빠른 배송, 박스포장으로 와서
찌그러짐없이 깔끔함에 계속 주문하게 됩니다"
2021.10.16,5.0,맛이없는게 이상하죠
2021.10.15,5.0,"배송포장 만족 입니다
적극 추천"
2021.10.13,5.0,요번엔 할인까지 많이 받아서 구매했어요. 강추
2021.10.12,5.0,늘 즐겨마시는 콜라입니다. 한번에 마시기 딱 좋은 용량입니다.
2021.10.12,5.0,갈증이 느껴질 때 딱 적당히 마실 수 있는 용량입니다. 역시 콜라는 코카콜라...^^
2021.10.08,5.0,잘 받았습니다 감사합니다
2021.10.08,5.0,잘 받았습니다 감사합니다
2021.10.08,5.0,잘 받았습니다 감사합니다
2021.10.08,5.0,잘 받았습니다 감사합니다
2021.10.08,5.0,행사가에 저렴히 샀네요
2021.10.07,5.0,"이번 배송엔 찌그러진거없이 60캔 아주아주 잘 왔습니다!
항상 배송해주시는 기사님께 감사드리네요ㅎㅎ
코카콜라만 드시는 우리집 사람들 때문에 콜라떨어질날이없습니다~"
2021.10.07,5.0,배송도 빠르고 좋아요
2021.10.06,5.0,간편하게 김빠짐없이 먹을수 있어서 너무 편하고 좋습니다^^
2021.10.06,5.0,좋아요 배송도빠르고 잘샀어요
2021.10.06,5.0,"최애하는 맛 입니다
지속 구매 증입니다"
2021.10.06,5.0,빠르게 질도착해서 한캔 땁니다
2021.09.29,5.0,늘 구매하는 상품 입니다
2021.09.21,5.0,"없어서는 안되는 식품
쟁이고 쟁여요~~
무거운 택배 감사하게 받아서 먹네요"
2021.09.13,5.0,"잘받았어요
배송도 빨리오구요
박스포장 한번 더 해서 와서 깨끗해요"
2021.09.10,5.0,"가격도 행사로 조금 싸게 샀어요
든든하게 두박스 시원하게 먹어요"
2021.09.07,5.0,"배송은 빠르게~ 포장은 깔끔한 박스포장
잘 받았습니다 !"
2021.09.04,5.0,배송도 빠르고 저렴하게 구입해서 만족합니다^^
2021.09.02,5.0,빠른배송 저렴한가격 추천합니다
